time,lat,lon,forest_class,confidence,telemetry
2026-08-11 21:58:12.107302,10.7623,106.6821,medium,0.576,NO DATA
2026-08-11 21:58:14.281977,10.7623,106.6821,medium,0.575,NO DATA
2026-08-11 21:58:16.265838,10.7623,106.6821,medium,0.576,NO DATA
2026-08-11 21:58:18.030829,10.7623,106.6821,medium,0.576,NO DATA
2026-08-11 21:58:19.836765,10.7623,106.6821,medium,0.576,NO DATA
2026-08-11 21:58:21.596773,10.7623,106.6821,medium,0.576,NO DATA
2026-08-11 21:58:23.427277,10.7623,106.6821,medium,0.576,NO DATA
2026-08-11 21:58:25.263170,10.7623,106.6821,medium,0.575,NO DATA
2026-08-11 21:58:27.109060,10.7623,106.6821,medium,0.575,NO DATA
2026-08-11 21:58:29.030266,10.7623,106.6821,medium,0.575,NO DATA
2026-08-11 21:58:30.846443,10.7623,106.6821,medium,0.575,NO DATA
2026-08-11 21:58:32.662759,10.7623,106.6821,medium,0.575,NO DATA
2026-08-11 21:58:34.464791,10.7623,106.6821,medium,0.576,NO DATA
2026-08-11 21:58:36.386324,10.7623,106.6821,medium,0.576,NO DATA
2026-08-11 21:58:38.331327,10.7623,106.6821,medium,0.576,NO DATA
2026-08-11 21:58:40.411463,10.7623,106.6821,medium,0.576,NO DATA
2026-08-11 21:59:04.231069,10.7623,106.6821,medium,0.576,NO DATA
